,1.Already Submitted Application,    1.1 Status of ticket application,1.1 Connection with Agent,   1.2 How to check the status,   0. Return to main menu,2. How to Complete or Submit an Application,   2.1 Ticket application process,         2.1.1 Online process,         2.1.2 Household restrictions,   2.2 Other information for the process,         2.2.1 The personal details,         2.2.2 Types of accessibility tickets,         2.2.3 Household restrictions,   0. Return to main menu,3. Information about Ticket Sales,   3.1 Ticket products,   3.2 Sales phases,   3.3 Ticket categories,   3.4 Ticket prices,   3.5 Confirmed tickets,   0. Return to main menu,4. Payment Methods,    4.1. Payment Methods,    0. Return to main menu,5. Any Other Enquires,   5.1 Cancellation and Resale,   5.2 Household restrictions,   5.3 Matches,   5.4 Legal documents,5.4 Connection with Agent,   5.5 Fan ID,   5.6 Health and Safety measures,   0. Return to main menu
6/30/2023,15,1,5,5,4,4,1,0,0,1,0,0,1,1,2,1,0,1,0,0,0,2,1,1,12,1,2,0,3,1,1,1,3
7/1/2023,16,5,2,4,5,4,0,1,0,1,0,1,1,0,2,0,0,0,1,0,1,1,1,0,14,1,3,0,2,3,1,1,3
7/2/2023,9,5,0,0,4,3,0,1,1,0,0,0,1,0,3,1,1,0,0,1,0,2,1,1,17,2,2,3,3,1,0,3,3
7/3/2023,9,0,1,4,4,3,0,1,0,0,0,0,1,1,3,1,0,1,0,0,1,1,1,0,13,0,3,1,2,1,2,1,3
7/4/2023,13,1,2,5,5,2,1,1,0,0,0,0,0,0,4,1,0,1,1,1,0,2,1,1,16,2,3,1,3,3,3,1,0
7/5/2023,11,2,2,3,4,4,1,1,1,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,14,2,3,3,2,0,0,1,3
7/6/2023,9,3,0,1,5,5,1,0,1,0,1,1,1,0,3,0,1,1,0,1,0,1,1,0,16,2,2,3,2,3,0,2,2
7/7/2023,9,4,5,0,0,6,1,1,1,1,0,1,0,1,3,0,0,1,1,0,1,0,0,0,15,0,0,2,2,2,3,3,3
7/8/2023,6,1,2,1,2,4,0,1,1,0,0,1,0,1,4,1,1,0,1,1,0,1,0,1,9,0,3,2,1,1,1,1,0
7/9/2023,10,0,5,5,0,2,1,0,0,0,0,1,0,0,3,1,0,0,0,1,1,1,0,1,9,1,0,2,1,2,3,0,0
7/10/2023,6,3,2,0,1,5,0,0,1,1,0,1,1,1,3,1,0,0,1,1,0,2,1,1,13,2,3,3,0,0,2,2,1
7/11/2023,11,3,2,2,4,2,0,0,0,0,1,0,0,1,5,1,1,0,1,1,1,1,0,1,14,2,2,2,2,1,3,0,2
7/12/2023,11,2,3,2,4,3,0,1,1,1,0,0,0,0,3,1,0,0,1,0,1,1,0,1,16,2,3,1,3,2,3,1,1
7/13/2023,9,4,1,0,4,6,1,1,1,1,1,0,0,1,4,1,1,0,1,1,0,1,0,1,6,0,3,2,0,0,0,1,0
7/14/2023,10,4,2,1,3,6,1,1,1,1,0,0,1,1,3,1,0,1,0,0,1,1,0,1,16,0,2,1,3,3,3,3,1
7/15/2023,11,3,5,2,1,2,0,0,0,1,0,0,1,0,4,1,0,1,0,1,1,1,0,1,17,3,3,1,1,3,1,2,3
7/16/2023,14,5,3,2,4,4,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,12,2,1,0,1,2,3,3,0
7/17/2023,8,3,0,2,3,1,1,0,0,0,0,0,0,0,4,1,1,1,0,1,0,2,1,1,14,2,2,2,3,3,1,0,1
7/18/2023,13,1,4,5,3,2,0,0,0,1,0,0,0,1,3,1,0,0,1,1,0,1,0,1,9,0,3,0,2,0,1,2,1
7/19/2023,10,2,3,0,5,5,0,1,1,1,0,0,1,1,4,0,1,1,0,1,1,2,1,1,13,3,3,3,0,1,0,2,1
7/20/2023,15,5,5,3,2,2,1,0,0,0,0,1,0,0,6,1,1,1,1,1,1,1,0,1,13,2,2,1,3,2,0,0,3
7/21/2023,11,2,2,3,4,5,1,1,1,1,0,0,0,1,3,1,0,1,1,0,0,1,1,0,8,0,0,0,3,0,2,3,0
7/22/2023,8,0,5,1,2,3,0,0,1,0,1,0,0,1,3,1,0,1,0,0,1,1,0,1,13,2,1,2,3,1,3,0,1
7/23/2023,5,5,0,0,0,3,1,0,1,0,0,0,1,0,3,1,1,1,0,0,0,2,1,1,14,3,1,0,3,2,1,1,3
7/24/2023,11,3,2,1,5,6,1,0,1,1,1,1,0,1,4,1,0,0,1,1,1,2,1,1,14,2,1,0,3,2,2,3,1
7/25/2023,9,2,0,5,2,5,1,0,0,0,1,1,1,1,3,1,0,0,0,1,1,0,0,0,13,2,3,3,2,0,2,0,1
7/26/2023,7,3,1,2,1,4,0,1,0,0,1,0,1,1,3,1,1,0,0,0,1,0,0,0,19,2,3,2,3,3,1,3,2
7/27/2023,7,3,3,0,1,6,1,1,0,1,1,1,1,0,5,1,1,0,1,1,1,1,1,0,11,1,3,0,1,3,0,0,3
7/28/2023,8,3,2,1,2,6,0,1,1,1,1,1,1,0,4,1,0,1,1,0,1,1,0,1,13,1,2,2,0,2,2,2,2
7/29/2023,10,2,3,4,1,6,1,1,1,0,1,0,1,1,2,1,0,1,0,0,0,2,1,1,13,2,3,0,3,2,2,0,1
7/30/2023,10,1,5,1,3,5,0,1,1,1,1,0,0,1,5,1,0,1,1,1,1,1,1,0,8,3,1,0,0,0,2,1,1
7/31/2023,9,2,0,4,3,4,1,0,0,1,0,0,1,1,3,1,1,1,0,0,0,2,1,1,14,1,1,1,0,3,3,2,3
8/1/2023,12,4,1,4,3,5,0,1,1,0,0,1,1,1,2,1,0,0,0,0,1,0,0,0,14,1,2,2,1,1,3,2,2
8/2/2023,8,1,1,2,4,3,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,1,11,3,2,0,1,1,0,1,3
8/3/2023,9,1,5,2,1,4,0,0,0,1,0,1,1,1,4,0,1,1,1,1,0,2,1,1,13,3,2,2,3,0,1,0,2
8/4/2023,6,1,1,0,4,5,0,1,1,0,0,1,1,1,4,1,0,1,1,0,1,2,1,1,4,0,0,2,0,1,1,0,0
8/5/2023,8,5,0,1,2,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,11,0,0,0,2,3,1,3,2
8/6/2023,8,3,3,1,1,5,1,0,1,0,1,0,1,1,4,1,1,1,1,0,0,1,1,0,8,2,1,1,0,1,0,0,3
8/7/2023,6,2,0,1,3,3,0,1,0,0,0,1,1,0,4,1,1,1,0,0,1,0,0,0,8,1,0,1,2,1,0,2,1
8/8/2023,8,0,5,2,1,4,0,0,1,0,1,0,1,1,5,1,1,1,0,1,1,2,1,1,7,1,0,1,3,1,0,0,1
8/9/2023,13,5,3,2,3,7,1,1,1,0,1,1,1,1,3,0,0,1,0,1,1,1,1,0,13,3,2,3,2,3,0,0,0
8/10/2023,14,5,5,0,4,4,1,1,1,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,10,1,0,2,3,1,0,2,1
8/11/2023,11,3,4,2,2,4,0,0,1,1,1,0,0,1,6,1,1,1,1,1,1,2,1,1,12,1,1,1,3,1,0,3,2
8/12/2023,8,2,0,3,3,3,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,2,1,1,16,3,3,3,0,1,1,2,3
8/13/2023,12,4,0,5,3,2,1,1,0,0,0,0,0,0,2,0,1,0,0,0,1,2,1,1,13,3,0,2,2,0,0,3,3
8/14/2023,9,2,2,2,3,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,12,0,0,3,1,3,3,2,0
8/15/2023,7,3,3,0,1,4,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,11,2,0,1,1,2,1,3,1
8/16/2023,14,3,5,1,5,6,1,1,0,1,0,1,1,1,4,1,0,0,1,1,1,1,1,0,20,3,2,1,3,3,3,3,2
8/17/2023,8,0,5,3,0,3,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,6,0,1,0,1,0,0,1,3
8/18/2023,13,4,2,5,2,4,0,0,1,1,1,0,1,0,5,1,1,1,1,0,1,0,0,0,16,1,2,3,2,3,1,1,3
8/19/2023,10,4,1,1,4,5,1,0,1,1,1,0,0,1,5,1,1,1,0,1,1,2,1,1,13,1,2,1,3,0,3,0,3
8/20/2023,4,1,0,2,1,3,0,0,0,1,1,0,0,1,3,1,0,1,0,0,1,1,1,0,11,3,0,2,0,1,1,3,1
8/21/2023,19,5,4,5,5,5,1,1,0,1,0,1,0,1,2,1,0,0,0,0,1,0,0,0,8,3,1,0,0,3,0,1,0
8/22/2023,13,3,5,5,0,4,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,11,0,1,3,1,0,3,0,3
8/23/2023,16,2,5,4,5,7,1,1,1,1,1,0,1,1,2,0,0,1,0,0,1,2,1,1,10,1,1,3,0,3,0,1,1
8/24/2023,9,4,4,0,1,4,1,1,0,1,0,0,1,0,4,1,0,1,1,0,1,1,1,0,9,2,1,2,0,1,0,2,1
8/25/2023,8,5,1,1,1,4,0,1,1,0,1,1,0,0,3,1,0,1,1,0,0,0,0,0,13,3,0,2,3,0,0,3,2
8/26/2023,6,0,0,5,1,4,0,1,1,0,0,1,0,1,2,0,1,0,1,0,0,1,0,1,20,1,2,3,3,2,3,3,3
8/27/2023,4,0,2,2,0,4,1,1,1,0,0,0,1,0,3,0,0,0,1,1,1,2,1,1,14,2,3,1,3,1,1,3,0
8/28/2023,5,2,3,0,0,3,0,1,0,0,1,0,0,1,4,0,1,1,0,1,1,1,1,0,12,2,1,0,2,3,3,1,0
8/29/2023,9,1,3,5,0,6,0,1,1,1,1,1,0,1,3,1,1,0,1,0,0,1,1,0,19,3,0,3,3,2,2,3,3
8/30/2023,11,5,3,2,1,5,1,1,1,0,0,1,1,0,3,0,1,1,1,0,0,1,1,0,10,0,0,2,1,1,2,1,3
8/31/2023,7,1,2,0,4,2,1,0,0,0,1,0,0,0,4,1,0,1,1,1,0,1,0,1,19,2,2,3,3,3,1,3,2
9/1/2023,13,3,0,5,5,5,1,0,1,1,1,0,0,1,2,0,0,0,1,0,1,0,0,0,12,0,2,0,3,3,0,3,1
9/2/2023,12,4,0,5,3,5,1,0,1,1,1,1,0,0,5,1,1,0,1,1,1,2,1,1,8,2,0,0,0,2,3,1,0
9/3/2023,11,4,3,1,3,2,0,0,0,0,1,0,0,1,3,1,0,0,1,1,0,0,0,0,15,0,1,3,2,3,0,3,3
9/4/2023,13,5,2,4,2,1,0,0,1,0,0,0,0,0,5,1,1,0,1,1,1,1,1,0,11,3,2,1,0,2,1,2,0
9/5/2023,15,3,5,4,3,2,0,0,0,1,0,0,1,0,3,0,0,0,1,1,1,1,1,0,11,1,1,3,3,0,2,1,0
9/6/2023,10,5,0,2,3,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,1,1,12,1,0,2,2,1,1,3,2
9/7/2023,15,2,3,5,5,5,0,1,0,1,1,1,0,1,4,1,1,1,0,0,1,2,1,1,10,2,1,0,1,0,3,2,1
9/8/2023,8,3,1,1,3,3,1,1,0,1,0,0,0,0,4,0,0,1,1,1,1,0,0,0,12,0,3,1,0,3,1,2,2
9/9/2023,13,2,3,3,5,6,1,1,1,0,1,1,1,0,4,1,1,1,0,1,0,0,0,0,14,3,1,1,1,3,3,1,1
9/10/2023,8,1,3,1,3,2,0,0,0,0,0,1,1,0,3,0,1,0,1,1,0,2,1,1,7,1,1,0,0,1,2,1,1
9/11/2023,4,2,0,1,1,4,0,0,1,0,1,1,1,0,2,1,0,0,0,1,0,0,0,0,13,1,2,2,3,2,1,2,0
9/12/2023,9,3,3,2,1,6,1,1,1,0,1,0,1,1,5,1,1,1,0,1,1,1,0,1,12,1,1,3,0,3,2,1,1
9/13/2023,12,3,2,2,5,4,1,0,0,0,1,1,1,0,3,1,0,0,1,1,0,0,0,0,18,2,3,3,1,3,1,2,3
9/14/2023,8,3,5,0,0,4,1,0,1,1,0,0,1,0,4,0,0,1,1,1,1,2,1,1,10,3,2,0,0,2,0,3,0
9/15/2023,4,0,0,2,2,4,0,0,0,1,1,1,0,1,3,0,0,1,1,0,1,1,0,1,12,1,2,2,2,0,1,1,3
9/16/2023,7,0,4,3,0,7,1,1,1,0,1,1,1,1,3,1,0,0,0,1,1,0,0,0,11,0,2,2,2,2,1,1,1
9/17/2023,9,2,2,3,2,6,1,0,1,1,0,1,1,1,4,1,1,0,1,0,1,0,0,0,15,2,2,3,1,1,3,1,2
9/18/2023,3,0,1,2,0,5,0,0,0,1,1,1,1,1,3,1,1,1,0,0,0,1,1,0,15,3,3,0,3,3,2,1,0
9/19/2023,7,1,3,0,3,3,1,0,1,0,0,0,1,0,4,1,1,0,0,1,1,0,0,0,14,2,0,3,3,2,1,1,2
9/20/2023,8,0,5,2,1,5,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,2,1,1,9,1,0,0,1,1,0,3,3
9/21/2023,10,1,2,4,3,2,0,0,0,0,0,0,1,1,4,0,1,1,1,1,0,2,1,1,17,3,3,2,1,2,1,2,3
9/22/2023,11,3,5,3,0,1,0,0,0,0,0,0,1,0,3,1,0,1,0,1,0,1,1,0,9,2,3,0,0,2,1,0,1
9/23/2023,14,5,4,2,3,5,1,1,1,1,0,0,1,0,4,1,0,1,1,1,0,2,1,1,9,1,0,0,1,3,1,2,1
9/24/2023,14,3,5,2,4,3,1,0,1,0,0,0,1,0,3,1,1,0,0,0,1,1,1,0,7,1,1,1,0,0,3,0,1
9/25/2023,18,4,5,5,4,3,0,0,0,0,1,1,0,1,4,1,0,0,1,1,1,2,1,1,11,2,0,3,1,1,3,1,0
9/26/2023,12,5,2,3,2,5,0,0,1,1,0,1,1,1,5,1,1,0,1,1,1,2,1,1,11,2,0,1,0,2,3,1,2
9/27/2023,13,4,5,3,1,6,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,10,2,1,1,1,1,1,0,3
9/28/2023,15,4,2,5,4,5,0,0,1,1,1,1,0,1,2,0,1,0,0,0,1,1,0,1,10,1,1,0,0,1,1,3,3
9/29/2023,3,0,1,1,1,3,1,0,1,0,0,0,0,1,4,1,0,0,1,1,1,1,0,1,11,3,3,0,1,2,0,2,0
9/30/2023,12,3,3,2,4,3,1,0,0,0,0,1,0,1,4,0,0,1,1,1,1,2,1,1,16,2,2,3,2,0,1,3,3
10/1/2023,11,5,2,0,4,3,1,0,0,0,1,1,0,0,3,0,0,1,1,0,1,0,0,0,7,1,1,1,1,1,0,0,2
10/2/2023,11,2,5,3,1,4,1,1,1,0,0,1,0,0,4,1,0,1,0,1,1,0,0,0,7,2,3,0,0,0,0,1,1
10/3/2023,8,5,1,0,2,3,0,1,0,0,0,1,1,0,2,1,0,0,1,0,0,1,0,1,14,2,2,2,2,0,3,2,1
10/4/2023,13,5,5,1,2,5,1,1,0,0,1,0,1,1,3,0,1,1,1,0,0,2,1,1,17,2,3,0,0,3,3,3,3
10/5/2023,9,1,2,4,2,6,1,0,1,1,1,1,0,1,5,1,1,1,0,1,1,1,1,0,10,0,1,2,1,3,1,1,1
10/6/2023,13,4,5,0,4,2,0,1,0,0,1,0,0,0,2,0,1,1,0,0,0,1,0,1,16,0,3,1,3,1,2,3,3
10/7/2023,11,2,3,4,2,4,0,0,0,0,1,1,1,1,3,0,0,1,1,1,0,1,0,1,19,2,3,0,3,3,3,3,2
10/8/2023,11,1,4,1,5,6,0,1,1,1,1,1,0,1,2,0,0,0,1,0,1,1,0,1,14,0,3,0,2,1,2,3,3
10/9/2023,9,1,0,4,4,3,0,0,1,1,0,0,0,1,3,1,0,1,1,0,0,1,0,1,10,1,0,2,1,2,2,1,1
10/10/2023,9,5,0,4,0,5,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,2,1,1,10,0,1,2,1,1,1,1,3
10/11/2023,7,1,3,1,2,5,1,0,1,0,1,0,1,1,3,0,1,1,0,1,0,1,1,0,9,0,0,2,1,3,1,2,0
10/12/2023,7,3,1,2,1,4,1,0,0,1,1,0,1,0,3,0,0,1,1,1,0,1,1,0,12,2,3,2,1,2,2,0,0
10/13/2023,8,0,3,3,2,5,0,0,1,1,1,1,0,1,3,1,0,0,0,1,1,2,1,1,13,3,2,2,1,0,2,2,1
10/14/2023,11,3,5,1,2,5,1,0,0,1,1,1,0,1,4,1,1,0,0,1,1,1,0,1,15,0,3,1,2,3,2,1,3
10/15/2023,8,3,1,2,2,3,0,0,1,0,0,1,1,0,4,1,1,0,1,0,1,1,0,1,11,2,1,0,0,2,2,1,3
10/16/2023,5,2,2,1,0,3,1,0,1,0,1,0,0,0,3,0,0,1,0,1,1,1,1,0,8,2,2,1,0,0,0,0,3
10/17/2023,9,1,2,1,5,3,0,0,1,0,0,1,1,0,4,1,1,1,0,1,0,1,0,1,11,3,0,0,2,0,1,3,2
10/18/2023,9,4,2,1,2,6,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,17,1,2,2,3,3,2,3,1
10/19/2023,14,4,0,5,5,6,1,0,1,1,0,1,1,1,5,1,1,1,0,1,1,0,0,0,10,3,2,0,1,1,2,1,0
10/20/2023,15,3,3,5,4,5,1,1,1,1,0,1,0,0,5,1,1,1,1,0,1,0,0,0,12,1,0,3,1,1,2,2,2
10/21/2023,14,1,4,5,4,2,0,0,0,0,1,0,0,1,2,0,0,1,1,0,0,1,0,1,12,1,3,0,0,3,1,1,3
10/22/2023,13,5,4,1,3,4,1,0,0,0,1,1,0,1,5,1,1,1,1,0,1,0,0,0,10,1,0,0,3,1,2,1,2
10/23/2023,7,3,1,3,0,3,0,0,0,1,0,1,1,0,5,1,1,1,1,1,0,1,0,1,7,0,0,1,0,2,1,3,0
10/24/2023,8,0,0,5,3,4,1,1,0,0,0,0,1,1,4,0,0,1,1,1,1,1,1,0,9,1,3,0,1,0,1,0,3
10/25/2023,5,5,0,0,0,5,1,0,1,0,0,1,1,1,3,0,1,0,0,1,1,1,1,0,10,1,0,1,1,1,3,0,3
10/26/2023,16,5,3,4,4,4,0,0,0,0,1,1,1,1,2,1,0,0,1,0,0,0,0,0,9,1,1,3,0,1,1,1,1
10/27/2023,7,1,3,2,1,6,1,0,1,1,1,1,1,0,5,1,0,1,1,1,1,1,1,0,12,1,2,1,3,0,1,3,1
10/28/2023,5,0,0,2,3,3,1,0,0,0,1,0,0,1,4,1,1,1,0,0,1,0,0,0,16,2,3,3,0,2,2,2,2
10/29/2023,3,0,1,1,1,2,0,1,0,0,0,0,1,0,3,1,1,0,0,1,0,1,1,0,12,1,1,1,2,3,2,0,2
10/30/2023,14,5,3,5,1,3,0,0,1,1,0,1,0,0,3,0,0,1,1,0,1,1,1,0,7,1,0,1,2,0,1,2,0
10/31/2023,11,1,4,4,2,5,1,0,1,1,1,0,0,1,2,1,0,0,1,0,0,2,1,1,12,1,0,1,2,1,2,2,3
11/1/2023,7,0,0,3,4,5,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,1,1,0,6,0,1,2,2,0,0,0,1
11/2/2023,7,1,0,4,2,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,1,1,0,10,1,1,1,3,1,1,2,0
11/3/2023,8,3,1,1,3,4,1,0,1,0,0,0,1,1,2,0,1,0,1,0,0,1,0,1,10,3,1,2,1,1,0,1,1
11/4/2023,6,3,1,0,2,4,0,0,1,1,1,1,0,0,2,0,1,0,0,1,0,1,1,0,16,2,3,3,1,1,1,2,3
11/5/2023,11,0,5,2,4,5,0,1,1,1,1,0,0,1,4,0,0,1,1,1,1,1,1,0,13,1,0,0,3,2,3,2,2
11/6/2023,11,1,1,4,5,3,1,0,0,0,1,1,0,0,4,1,0,0,1,1,1,0,0,0,7,2,0,1,0,0,3,1,0
11/7/2023,9,2,2,3,2,6,0,1,1,1,1,1,0,1,3,1,1,0,0,1,0,1,0,1,14,2,3,3,0,2,1,2,1
11/8/2023,7,4,0,2,1,6,1,1,1,1,0,1,0,1,2,0,1,0,0,1,0,1,0,1,16,3,0,2,1,3,2,2,3
11/9/2023,7,5,1,0,1,4,0,0,1,0,1,0,1,1,4,1,1,0,0,1,1,1,1,0,8,1,1,2,1,1,0,1,1
11/10/2023,6,1,4,1,0,5,0,0,1,1,0,1,1,1,6,1,1,1,1,1,1,1,1,0,13,2,3,1,2,1,1,0,3
11/11/2023,9,0,5,0,4,3,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,14,2,1,1,1,1,3,3,2
11/12/2023,9,5,0,1,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,1,1,11,2,1,2,3,0,1,0,2
11/13/2023,8,5,1,0,2,4,1,0,0,1,1,0,1,0,3,1,0,1,1,0,0,0,0,0,13,0,0,1,2,3,2,2,3
11/14/2023,10,5,4,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,15,2,2,2,1,0,3,2,3
11/15/2023,7,1,1,4,1,4,0,0,1,1,0,1,1,0,3,0,0,1,1,1,0,0,0,0,19,2,2,3,3,3,3,1,2
11/16/2023,15,3,5,4,3,5,1,0,1,1,1,0,0,1,2,1,0,0,1,0,0,0,0,0,8,0,1,1,2,2,0,0,2
11/17/2023,11,3,2,2,4,4,0,1,0,0,1,0,1,1,2,1,0,0,0,0,1,1,1,0,11,2,1,0,3,1,3,1,0
11/18/2023,11,2,0,5,4,7,1,0,1,1,1,1,1,1,2,1,0,0,0,0,1,1,1,0,15,2,3,0,0,2,3,2,3
11/19/2023,10,2,3,1,4,1,0,0,0,0,0,0,1,0,3,1,1,1,0,0,0,2,1,1,7,0,1,2,2,0,1,1,0
11/20/2023,8,2,1,4,1,4,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,9,0,2,2,2,2,1,0,0
11/21/2023,11,2,4,2,3,3,0,0,0,1,1,0,1,0,4,1,0,1,0,1,1,1,0,1,5,0,1,1,0,1,0,2,0
11/22/2023,7,2,2,2,1,2,0,1,0,0,0,0,1,0,4,1,1,1,1,0,0,1,0,1,11,0,1,0,3,2,2,2,1
11/23/2023,6,1,1,1,3,4,0,0,1,0,1,0,1,1,5,1,1,1,0,1,1,1,1,0,10,3,0,0,2,3,1,1,0
11/24/2023,9,0,4,2,3,6,1,1,0,1,0,1,1,1,2,1,0,0,0,0,1,2,1,1,12,1,0,1,1,2,1,3,3
11/25/2023,14,2,4,5,3,6,1,1,1,0,1,1,1,0,4,1,1,0,1,1,0,1,1,0,8,1,0,3,0,0,0,2,2
11/26/2023,10,1,3,3,3,4,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,2,1,1,15,1,1,2,3,1,3,3,1
11/27/2023,16,5,5,1,5,3,0,1,0,1,0,0,0,1,4,1,1,1,0,1,0,1,0,1,15,2,3,0,3,3,0,1,3
11/28/2023,9,1,3,2,3,6,1,1,1,0,1,0,1,1,3,0,0,1,1,0,1,1,0,1,17,2,0,3,3,3,1,3,2
11/29/2023,8,0,2,5,1,3,0,1,0,0,0,0,1,1,4,1,0,1,1,1,0,0,0,0,12,1,2,3,1,3,0,0,2
11/30/2023,13,1,4,3,5,4,1,1,0,1,0,0,0,1,2,0,0,1,0,1,0,2,1,1,15,3,3,3,0,2,1,3,0
12/1/2023,12,3,5,3,1,3,0,1,1,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,7,1,2,2,1,0,0,1,0
12/2/2023,12,4,1,4,3,4,0,0,0,0,1,1,1,1,5,1,1,1,0,1,1,1,0,1,17,3,2,0,1,3,2,3,3
12/3/2023,13,5,2,5,1,5,1,1,0,1,0,1,1,0,3,0,1,1,1,0,0,1,1,0,9,1,1,3,0,1,3,0,0
12/4/2023,15,3,3,4,5,4,0,0,1,1,1,0,0,1,2,0,0,0,0,1,1,1,1,0,12,0,3,3,1,0,2,3,0
12/5/2023,16,4,2,5,5,6,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,3,1,0,1,0,0,0,0,1
12/6/2023,6,1,0,5,0,3,0,0,1,1,0,0,1,0,2,0,0,1,0,0,1,1,0,1,11,1,0,0,3,3,1,2,1
12/7/2023,8,3,5,0,0,5,0,1,1,0,1,1,1,0,4,1,0,1,1,0,1,1,1,0,10,3,0,2,1,0,2,0,2
12/8/2023,2,0,0,1,1,5,0,1,1,1,1,1,0,0,4,0,1,1,1,0,1,0,0,0,7,2,0,1,0,1,2,0,1
12/9/2023,13,5,1,2,5,3,1,0,0,1,0,0,0,1,3,1,1,0,1,0,0,2,1,1,14,3,2,0,3,0,3,1,2
12/10/2023,14,5,4,4,1,3,1,0,1,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,8,0,0,0,1,3,1,3,0
12/11/2023,10,4,4,2,0,4,1,0,0,1,1,0,0,1,2,0,0,1,0,1,0,1,0,1,11,0,3,0,3,2,0,3,0
12/12/2023,14,3,5,4,2,7,1,1,1,1,0,1,1,1,2,1,0,0,1,0,0,0,0,0,5,1,1,0,0,2,1,0,0
12/13/2023,12,5,3,1,3,4,1,1,0,0,0,0,1,1,3,0,1,1,0,1,0,1,1,0,11,1,3,0,1,0,3,2,1
12/14/2023,8,2,2,3,1,6,1,0,1,1,1,1,1,0,2,0,0,0,0,1,1,2,1,1,12,3,3,1,1,0,0,2,2
12/15/2023,8,0,4,4,0,3,0,0,1,1,1,0,0,0,2,0,1,1,0,0,0,2,1,1,17,3,3,1,2,3,3,2,0
12/16/2023,11,3,0,5,3,6,0,0,1,1,1,1,1,1,4,1,0,0,1,1,1,2,1,1,8,0,0,0,1,0,3,2,2
12/17/2023,12,4,3,3,2,7,1,1,1,1,1,1,0,1,4,1,1,1,1,0,0,0,0,0,17,0,3,3,1,3,3,1,3
12/18/2023,8,2,3,1,2,4,1,1,0,0,1,0,0,1,3,0,1,0,0,1,1,0,0,0,10,1,1,3,0,3,2,0,0
12/19/2023,9,5,2,0,2,6,1,1,0,0,1,1,1,1,2,0,0,1,1,0,0,0,0,0,11,0,2,2,0,2,1,3,1
12/20/2023,9,3,0,4,2,6,1,1,1,1,0,1,0,1,4,0,1,1,1,1,0,0,0,0,10,1,0,1,0,2,3,1,2
12/21/2023,11,0,2,4,5,5,1,1,1,0,1,0,0,1,3,0,1,0,1,0,1,1,1,0,16,2,2,3,1,3,2,1,2
12/22/2023,18,5,3,5,5,1,0,1,0,0,0,0,0,0,5,1,1,1,0,1,1,1,1,0,8,0,1,3,2,0,0,0,2
12/23/2023,7,2,4,1,0,3,1,0,1,0,0,1,0,0,6,1,1,1,1,1,1,1,1,0,11,3,2,3,2,1,0,0,0
12/24/2023,7,4,2,1,0,4,1,0,1,1,0,0,1,0,4,0,1,1,0,1,1,1,0,1,13,0,3,0,3,0,3,2,2
12/25/2023,12,0,2,5,5,4,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,12,3,2,1,2,1,0,3,0
12/26/2023,7,5,0,2,0,4,0,0,0,1,0,1,1,1,3,0,1,0,1,0,1,2,1,1,9,0,2,0,2,3,0,1,1
12/27/2023,11,3,2,5,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,1,1,3,0,3,3,3
12/28/2023,6,3,1,0,2,2,0,0,0,0,0,1,1,0,5,1,1,0,1,1,1,0,0,0,15,2,2,3,0,2,1,3,2
12/29/2023,17,2,5,5,5,2,1,0,0,1,0,0,0,0,5,1,1,0,1,1,1,2,1,1,14,3,0,1,3,1,3,2,1
12/30/2023,13,4,0,4,5,4,1,1,0,0,1,0,0,1,4,0,1,1,0,1,1,1,0,1,16,1,0,3,1,3,2,3,3
12/31/2023,10,4,3,3,0,2,0,1,0,0,1,0,0,0,2,1,1,0,0,0,0,1,1,0,13,2,1,3,2,1,2,2,0
